Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.11296004,0.07574599,0.09014504,0.18364871,0.04526759,0.50000000,0.00000000,0.00000000,0.28004392,0.50932330,0.40438826,0.44730552,0.33291812,0.46965570,0.41421894,0.30562931,0.42536610,0.45037274,0.31694823,0.37311987,0.29300364,0.29505491,0.23435524,0.57795410,0.46113562,0.54321039,0.65236009,0.75056124,-1,-1,-1,1
0.10409253,0.09873108,0.07015518,0.18900843,0.05145391,0.50000000,0.00000000,0.00000000,0.23744368,0.48521467,0.38283884,0.42016929,0.30318598,0.45100712,0.39900612,0.29986789,0.40646895,0.41923633,0.34023536,0.40869645,0.26097283,0.31758078,0.22933474,0.63017118,0.43907901,0.55977359,0.64411666,0.74693270,-1,-1,-1,1
0.08260383,0.08861246,0.06006255,0.14157481,0.05867134,0.50000000,0.00000000,0.00000000,0.22582117,0.47805214,0.37653296,0.40803243,0.30036982,0.43921408,0.38918433,0.29710035,0.42204948,0.41083780,0.34479702,0.44664791,0.22191590,0.34681653,0.23190873,0.65602874,0.42474418,0.56701745,0.62000468,0.73371717,-1,-1,-1,1
0.08247209,0.08089405,0.06918962,0.12157200,0.05473454,0.50000000,0.00000000,0.00000000,0.22497182,0.50179215,0.36597583,0.38890129,0.29525885,0.44720216,0.37910787,0.31207601,0.45330514,0.43165450,0.37806912,0.48034165,0.21378728,0.36938092,0.24331406,0.68478586,0.40340310,0.59285483,0.58804112,0.71278533,-1,-1,-1,1
0.09006798,0.06478703,0.07024997,0.13693639,0.06477388,0.50000000,0.00000000,0.00000000,0.28265190,0.53357960,0.39412100,0.41101053,0.34016887,0.48133496,0.40632793,0.36772463,0.48156647,0.47252429,0.45107304,0.51960918,0.25341092,0.39086200,0.27767653,0.72250001,0.38935167,0.60579391,0.57637642,0.73291484,-1,-1,-1,1
0.12589568,0.09945341,0.07425661,0.20692247,0.04995343,0.50000000,0.00000000,0.00000000,0.32994410,0.53248875,0.40353614,0.40973774,0.36919412,0.47119253,0.41065170,0.39034080,0.53569214,0.53357991,0.50971472,0.53838712,0.27657295,0.39413989,0.29830339,0.74946147,0.39008942,0.59413556,0.54852632,0.69935011,-1,-1,-1,1
0.09293670,0.12346513,0.06298666,0.15179804,0.05136460,0.50000000,0.00000000,0.00000000,0.37701029,0.54366797,0.42267993,0.41857888,0.40037384,0.47251443,0.42209293,0.42864174,0.60171556,0.60374502,0.54426901,0.53746423,0.29884320,0.40221380,0.31988090,0.74459208,0.40220928,0.58253907,0.52882401,0.69787577,-1,-1,-1,1
0.19001037,0.23159465,0.07177192,0.32272228,0.03958707,0.50000000,0.00000000,0.00000000,0.41832367,0.54748948,0.45101468,0.43883059,0.42887130,0.46748361,0.43531922,0.43929623,0.63705786,0.66035632,0.56211771,0.52671543,0.33698549,0.39654104,0.35151219,0.70857182,0.38857614,0.57216281,0.53291739,0.69943943,-1,-1,-1,1
0.31232874,0.24605475,0.19655906,0.43364552,0.03481759,0.50000000,0.00000000,0.00000000,0.46323659,0.55590944,0.47962301,0.45182927,0.46414770,0.46615027,0.45079946,0.45314704,0.71454495,0.72964219,0.56740244,0.51060165,0.36439020,0.38254160,0.37030991,0.67525404,0.37360728,0.56193025,0.54378091,0.68039979,-1,-1,-1,1
0.31869699,0.35905015,0.19411269,0.43862009,0.05652470,0.50000000,0.00000000,0.00000000,0.47549458,0.52828438,0.47300078,0.43191559,0.46453640,0.43836301,0.43939413,0.44605409,0.76326969,0.78274264,0.60046087,0.51598292,0.40949746,0.37251330,0.39512645,0.67017550,0.37293246,0.55809780,0.54747056,0.68180774,-1,-1,-1,1
0.35183191,0.32573081,0.21477570,0.48659981,0.06847679,0.50000000,0.00000000,0.00000000,0.47023379,0.49873367,0.46068809,0.41384616,0.45358953,0.41332903,0.42312717,0.43431977,0.77808581,0.79862139,0.59425015,0.50473400,0.41436261,0.36338217,0.39840056,0.65174924,0.37922506,0.55473741,0.55003847,0.69189361,-1,-1,-1,1
0.45656241,0.40504488,0.20646576,0.66950168,0.06929293,0.50000000,0.00000000,0.00000000,0.45124962,0.46618849,0.43736616,0.38344920,0.43501557,0.37866523,0.39073651,0.40629728,0.77363855,0.78825323,0.56346237,0.46355887,0.39359664,0.32571498,0.37414090,0.62479580,0.40625065,0.53001247,0.54714308,0.66277365,-1,-1,-1,1
0.46262122,0.45813069,0.21090114,0.67801684,0.06688926,0.50000000,0.00000000,0.00000000,0.43463524,0.45871481,0.41513362,0.35450689,0.41749859,0.37256319,0.36233117,0.40603730,0.77673473,0.76922847,0.54698261,0.45144068,0.38812880,0.30964299,0.37052535,0.60150087,0.40264307,0.53174946,0.56749412,0.66246998,-1,-1,-1,1
0.43707857,0.51284290,0.21064443,0.63372469,0.07061383,0.50000000,0.00000000,0.00000000,0.42317675,0.45978483,0.39438945,0.32912450,0.40728161,0.37065611,0.33661150,0.39778355,0.77593455,0.75797770,0.53478769,0.44249487,0.38272697,0.29943572,0.37010018,0.57796792,0.39635574,0.53138844,0.58814503,0.65186563,-1,-1,-1,1
