Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.33688713,0.15712140,0.30068943,0.42442544,0.07192981,0.85714286,0.33333333,0.40000000,0.34670477,0.47261011,0.42288159,0.35741250,0.30371013,0.41800766,0.31823921,0.32201436,0.68579764,0.75587355,0.15122832,0.46833265,0.27540771,0.45943027,0.40001769,0.31597699,0.16754951,0.69436050,0.62697979,0.44108644,-1,-1,-1,-1
0.34851731,0.10690954,0.33145587,0.40691722,0.08732052,0.85714286,0.33333333,0.40000000,0.32148402,0.51354870,0.42726697,0.36211947,0.29144201,0.44787905,0.31696302,0.34633374,0.67793198,0.76409618,0.14897591,0.47852918,0.28301479,0.46928547,0.40922179,0.31030905,0.18052661,0.68264843,0.62260426,0.41275624,-1,-1,-1,-1
0.30510775,0.07662602,0.24092933,0.39098296,0.09343672,0.85714286,0.33333333,0.20000000,0.28999712,0.49194594,0.39611828,0.33387520,0.27574268,0.43953402,0.27604141,0.31714978,0.67518663,0.76943587,0.13286459,0.47548631,0.26548702,0.49181825,0.40005321,0.31121482,0.17704599,0.66469986,0.62073058,0.39216781,-1,-1,-1,-1
0.28316925,0.07725046,0.25875457,0.33311060,0.09925455,0.85714286,0.44444444,0.20000000,0.29774569,0.51263770,0.40832803,0.34760148,0.28555650,0.45262671,0.29237795,0.33834332,0.68261304,0.78201699,0.12257680,0.45630612,0.26279471,0.47598076,0.38438711,0.30776986,0.19512485,0.64480816,0.61099966,0.38747969,-1,-1,-1,-1
0.21928167,0.07400043,0.18337350,0.25973432,0.10934231,0.85714286,0.44444444,0.40000000,0.29367424,0.52981546,0.43169643,0.37509255,0.29162473,0.46571684,0.31313405,0.35714845,0.67200626,0.76558027,0.12823201,0.45781092,0.27542298,0.48183956,0.39620912,0.29774047,0.22803113,0.61569209,0.59579397,0.37956172,-1,-1,-1,-1
0.16570957,0.06697822,0.13174143,0.19446514,0.08793353,0.78571429,0.55555556,0.40000000,0.28650907,0.52106833,0.43307245,0.38299882,0.28791560,0.45446084,0.31937537,0.34729544,0.65822026,0.74824304,0.12620705,0.44307435,0.27409059,0.47850572,0.38916228,0.29465358,0.24048347,0.61033664,0.58452333,0.38524390,-1,-1,-1,-1
0.12876559,0.05009157,0.16443799,0.11991214,0.09447425,0.71428571,0.44444444,0.60000000,0.28420931,0.56841695,0.43758408,0.38438107,0.27700916,0.47528192,0.31661800,0.38552199,0.66908345,0.76688479,0.12440261,0.44323045,0.27938489,0.47493990,0.39005542,0.29122165,0.27103062,0.60180081,0.57641964,0.38771239,-1,-1,-1,-1
0.13099118,0.03928834,0.15621455,0.14692700,0.07912796,0.78571429,0.44444444,0.80000000,0.32423016,0.57929214,0.45550303,0.39960955,0.30023981,0.47848767,0.33186380,0.38584896,0.67453135,0.76430437,0.12099568,0.45450436,0.28225828,0.48215637,0.39656555,0.28695206,0.28437716,0.59454890,0.58281685,0.39709751,-1,-1,-1,-1
0.08841633,0.02561583,0.11013988,0.09568130,0.07899076,0.71428571,0.44444444,0.80000000,0.34015336,0.55960414,0.45647079,0.40228926,0.30757902,0.46254712,0.34063663,0.38151593,0.67394413,0.75745374,0.11936572,0.41980375,0.28209897,0.44636200,0.37203909,0.29083998,0.29594208,0.58814369,0.58273020,0.41990159,-1,-1,-1,-1
0.07702159,0.02188526,0.06685413,0.10617136,0.08220862,0.71428571,0.33333333,0.80000000,0.38655776,0.58130078,0.49355186,0.43319350,0.33347930,0.48253192,0.38933815,0.41094997,0.69835850,0.76642114,0.13440706,0.42892441,0.29371161,0.43125923,0.38003687,0.29666802,0.29834996,0.57902778,0.60704903,0.45193276,-1,-1,-1,-1
