Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.11153870,0.09851660,0.14180458,0.12111406,0.11296346,0.55494505,0.06000000,0.05882353,0.42507360,0.38618162,0.43936987,0.38316065,0.54849112,0.36194659,0.43986446,0.48984336,0.53997131,0.54243468,0.48873101,0.28767115,0.64374699,0.35832396,0.41732532,0.52201500,0.55147777,0.53916775,0.46205015,0.33812170,-1,1,-1,-1
0.56153672,0.53650193,0.12319026,0.63179184,0.29675349,0.54395604,0.08000000,0.03921569,0.42541432,0.36840869,0.42885751,0.37224652,0.54420389,0.34557983,0.43362766,0.48508420,0.53989878,0.54889710,0.49171398,0.28144221,0.65930865,0.35974878,0.42519919,0.52027890,0.55633184,0.51138542,0.47109111,0.34151307,-1,1,-1,-1
0.65372230,0.88216551,0.10032397,0.75976330,0.30883843,0.53296703,0.06000000,0.03921569,0.40939914,0.35674924,0.39253152,0.34154917,0.52020379,0.33051903,0.40365626,0.49738608,0.51676024,0.53683838,0.50452985,0.31579217,0.68055976,0.40020952,0.46368853,0.51947415,0.54516220,0.51740782,0.45587332,0.33651859,-1,1,-1,-1
0.67281820,0.96104986,0.11632928,0.75513204,0.34306519,0.52747253,0.06000000,0.03921569,0.39069761,0.32230673,0.34993063,0.29836856,0.48487924,0.30629473,0.36816954,0.47159919,0.49359760,0.51325573,0.49738629,0.31174105,0.67467052,0.39417195,0.45510958,0.51805635,0.53383432,0.52009686,0.43352584,0.31371266,-1,1,-1,-1
0.72132582,1.00000000,0.22113580,0.79399764,0.30600567,0.51648352,0.08000000,0.03921569,0.37974181,0.28821287,0.33318410,0.28419499,0.47618465,0.28019805,0.35929579,0.44116828,0.48600195,0.49877020,0.49836458,0.33637047,0.67498084,0.42773660,0.47859545,0.50730167,0.55196095,0.50843480,0.43549919,0.29970151,-1,1,-1,-1
0.82150435,0.99598482,0.30699824,0.90088319,0.31591948,0.49450549,0.10000000,0.05882353,0.37472126,0.30201624,0.33577028,0.28572422,0.46639786,0.31289982,0.36403250,0.44818260,0.48866005,0.48905880,0.51777500,0.40055391,0.67401120,0.47288854,0.53239785,0.49609337,0.52111970,0.49550614,0.44970402,0.26701077,-1,1,-1,-1
0.90348645,0.57811478,0.32423801,1.00000000,0.30171054,0.45604396,0.12000000,0.05882353,0.36593822,0.30712940,0.34109947,0.28896462,0.44965582,0.33013155,0.37154331,0.41174556,0.48637726,0.48787165,0.51219574,0.43649694,0.66131713,0.51967195,0.55683348,0.48136867,0.51737234,0.48730335,0.45903843,0.26290861,-1,1,-1,-1
0.48970435,0.27385801,0.41334778,0.50261563,0.14141091,0.42307692,0.10000000,0.07843137,0.37566658,0.35492879,0.37687343,0.32612658,0.47564660,0.37134429,0.39514741,0.44731886,0.50436418,0.50499494,0.51182132,0.45800211,0.65740298,0.54646587,0.57117463,0.47876074,0.51394413,0.49590412,0.47331178,0.27247399,-1,1,-1,-1
0.48060303,0.21616726,0.50116991,0.46212679,0.18303101,0.40659341,0.14000000,0.11764706,0.38012169,0.36163511,0.38311548,0.33139567,0.47759541,0.38203997,0.39752253,0.44343587,0.51058986,0.50513551,0.50009240,0.45915722,0.64851882,0.55167595,0.56850641,0.46648068,0.51159094,0.50423855,0.47376961,0.27238980,-1,1,-1,-1
0.52058471,0.21428660,0.57860662,0.48737164,0.20266156,0.41208791,0.22000000,0.13725490,0.37350968,0.32787675,0.37523277,0.31505729,0.46886458,0.35970483,0.37327680,0.39492960,0.52131279,0.49998087,0.48018487,0.43580861,0.62681640,0.53280767,0.54128519,0.45544871,0.52433411,0.48656866,0.46389838,0.25606258,-1,1,-1,-1
