Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.44339455,0.39854945,0.40472493,0.39050980,0.29029629,0.52887538,0.09433962,0.06666667,0.42818539,0.37805637,0.51156447,0.54850261,0.50096974,0.45814798,0.38026387,0.61696054,0.52287081,0.44201283,0.72985631,0.43843607,0.58788432,0.36382119,0.70539966,0.37065478,0.40905220,0.64538279,0.30301365,0.35265001,-1,-1,-1,1
0.32691301,0.33537501,0.26788184,0.28277125,0.25996919,0.55623100,0.22641509,0.20000000,0.38066765,0.34071202,0.44431644,0.48862097,0.45004041,0.41688727,0.33069761,0.56337111,0.49590038,0.41819358,0.68626328,0.41661150,0.54916820,0.34690567,0.66572862,0.35786410,0.38730556,0.66002698,0.27831528,0.32774417,-1,-1,-1,1
0.27645878,0.28437911,0.21785922,0.23297824,0.24978793,0.62310030,0.43396226,0.26666667,0.33697789,0.30860491,0.39712048,0.44339982,0.40950751,0.38587263,0.28805825,0.52860188,0.47495956,0.39352907,0.66619107,0.38761420,0.52211667,0.32339064,0.62559471,0.35884172,0.37323652,0.66701312,0.25817950,0.30105648,-1,-1,-1,1
0.37474563,0.29538766,0.24379767,0.27734436,0.42082301,0.68996960,0.45283019,0.51111111,0.30974125,0.28257883,0.36640307,0.41630824,0.39158091,0.35582300,0.26212187,0.49526050,0.45939935,0.37104782,0.65964669,0.37851402,0.50897270,0.31602769,0.61201006,0.35577705,0.37318753,0.66925117,0.24881831,0.29321379,-1,-1,-1,1
0.36335076,0.35666129,0.23866951,0.27942575,0.37455860,0.73556231,0.58490566,0.62222222,0.30067241,0.27043402,0.35528057,0.40394622,0.39229981,0.34722530,0.24752171,0.48082388,0.46013541,0.36736122,0.64123785,0.36157986,0.48578531,0.30398899,0.58524638,0.35326846,0.39926478,0.65742695,0.24468623,0.29381811,-1,-1,-1,1
0.32590723,0.32162071,0.29904538,0.23129985,0.29302249,0.74772036,0.77358491,0.68888889,0.30112808,0.25372813,0.35243027,0.40449433,0.40005747,0.33983827,0.24303098,0.49154039,0.47563189,0.37655983,0.64053518,0.35294680,0.49292021,0.29918756,0.58740233,0.34165830,0.42108789,0.65985586,0.23083501,0.30017162,-1,-1,-1,1
0.34401831,0.25205122,0.35148424,0.22742210,0.33109106,0.74468085,0.84905660,0.66666667,0.29475763,0.26332762,0.37148876,0.42220370,0.40538741,0.37310723,0.26449878,0.50665018,0.47870154,0.37550177,0.63053132,0.35610778,0.49078858,0.30740082,0.59617540,0.33008235,0.42293876,0.66114124,0.24028681,0.30067573,-1,-1,-1,1
0.28364606,0.20070932,0.23835850,0.17377928,0.35401967,0.73556231,0.69811321,0.71111111,0.28953705,0.26821449,0.36069458,0.39914964,0.39028428,0.38600163,0.25280196,0.52133910,0.48120891,0.37728593,0.62354639,0.35331056,0.48518789,0.31067515,0.59361849,0.32865061,0.42970506,0.67104774,0.24951322,0.31769438,-1,-1,-1,1
0.27458389,0.12481387,0.22199955,0.15201036,0.37864779,0.70212766,0.47169811,0.46666667,0.33798102,0.29399796,0.41082084,0.44310732,0.43147011,0.42286622,0.29544141,0.55571903,0.51700143,0.40492130,0.64584882,0.37603139,0.49945045,0.33481927,0.62243791,0.34424847,0.44528885,0.65262122,0.26553707,0.34218797,-1,-1,-1,1
0.20200253,0.05368456,0.18606617,0.12803096,0.25058780,0.63221884,0.45283019,0.33333333,0.37714315,0.32393518,0.46274737,0.48426362,0.46194942,0.45711865,0.33336958,0.59146151,0.55683719,0.43192272,0.66509218,0.39697330,0.51510660,0.35435397,0.64857971,0.35632190,0.45824142,0.64789730,0.27838072,0.35247288,-1,-1,-1,1
0.17923666,0.04661567,0.20306443,0.08828039,0.26297441,0.57446809,0.41509434,0.35555556,0.37940057,0.32341746,0.48139703,0.49119745,0.45402474,0.44896792,0.34431987,0.60372635,0.57348958,0.44089647,0.66559289,0.38435886,0.50957172,0.34840227,0.63106411,0.37132443,0.46150171,0.64234389,0.28549013,0.35390015,-1,-1,-1,1
0.20294752,0.06983349,0.16474352,0.13188231,0.30928045,0.54103343,0.22641509,0.33333333,0.37859192,0.32708586,0.50087307,0.50412691,0.44640556,0.44607695,0.34438918,0.60907976,0.58896445,0.44399274,0.69793802,0.40218347,0.54058938,0.35539729,0.65641024,0.38411193,0.42968868,0.68427760,0.30495126,0.39237003,-1,-1,-1,1
0.20163279,0.06978117,0.14160804,0.11764793,0.32757809,0.54711246,0.15094340,0.22222222,0.36813914,0.33184721,0.50199147,0.50261388,0.42794354,0.43343255,0.33479803,0.60226204,0.59439559,0.44393353,0.71567687,0.41391870,0.55280494,0.36192643,0.66983965,0.39376287,0.40526188,0.72143529,0.30927274,0.40489599,-1,-1,-1,1
0.25979644,0.13176123,0.17729307,0.17889381,0.36323172,0.56231003,0.20754717,0.24444444,0.36532493,0.31993459,0.49078421,0.47989074,0.41536142,0.39732511,0.30477638,0.59064282,0.60601747,0.45183174,0.73107277,0.42082912,0.56929462,0.36385556,0.68762114,0.38649826,0.39708308,0.73621376,0.30048862,0.40210499,-1,-1,-1,1
0.37938928,0.20784557,0.17924102,0.29937833,0.47236088,0.56231003,0.30188679,0.28888889,0.38028856,0.31191773,0.49841516,0.48090371,0.42914307,0.38307092,0.30463838,0.58557536,0.62209968,0.46106355,0.72947721,0.42651449,0.57036094,0.36550582,0.69685719,0.37538006,0.39464512,0.73715374,0.28832682,0.38442472,-1,-1,-1,1
