time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
0,0.0515944,0.04042154,0.03068752,0.07427968,0.11977223,0.53741497,0.0952381,0.06976744,0.11386095,0.26758703,0.13243674,0.26660549,0.19314153,0.41422774,0.15167477,0.28089668,0.38062064,0.43735152,0.49727849,0.53901222,0.47285164,0.5816942,0.53013471,0.51213212,0.51541085,0.53055329,0.37851665,0.50519384,-1,-1,-1,-1,0.14423793475998503,"[0.03, 0.06)","[0.04, 0.07)","[0.02, 0.03)","[0.05, 0.09)","[0.10, 0.13)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
7,0.0541287,0.03270985,0.03171736,0.08160902,0.09782427,0.55102041,0.04761905,0.06976744,0.13273362,0.26497553,0.14655126,0.27651006,0.21034711,0.41310407,0.17148483,0.2715529,0.39230791,0.4454963,0.50819256,0.55322042,0.49460191,0.57960044,0.54541662,0.52836048,0.5234816,0.52254032,0.36426451,0.49238366,-1,-1,-1,-1,0.1312844654624564,"[0.03, 0.06)","[0.00, 0.04)","[0.02, 0.03)","[0.05, 0.09)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
14,0.05539639,0.03009632,0.04057001,0.0815392,0.06280211,0.55782313,0.02380952,0.04651163,0.14776426,0.28541575,0.16220077,0.28884599,0.22171278,0.42763983,0.19346679,0.29800638,0.38462037,0.43990394,0.50403357,0.55998168,0.49666589,0.59420767,0.54806317,0.53999677,0.52927273,0.50875831,0.36152288,0.4872519,-1,-1,-1,-1,0.11062853098768057,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.05, 0.09)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
21,0.05900746,0.0224736,0.04821357,0.08659085,0.03553867,0.55782313,0.04761905,0.06976744,0.1272256,0.30225992,0.17828718,0.29332368,0.19645934,0.42090449,0.19226253,0.2813532,0.40234799,0.44868191,0.50407393,0.55898677,0.49916899,0.60961866,0.55757923,0.53406452,0.53063545,0.49686163,0.40779427,0.51203715,-1,-1,-1,-1,0.10528779939402429,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.05, 0.09)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
28,0.04814376,0.02543367,0.05020817,0.06586983,0.05229913,0.55782313,0.04761905,0.09302326,0.14046197,0.31021236,0.19420803,0.30347844,0.21586033,0.43173855,0.21013999,0.28466455,0.4150334,0.45104143,0.49191588,0.55255876,0.49900038,0.6125536,0.56774144,0.49497095,0.52365339,0.48631136,0.43734073,0.53309549,-1,-1,-1,-1,0.09795352897029642,"[0.03, 0.06)","[0.00, 0.04)","[0.05, 0.07)","[0.05, 0.09)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
35,0.05375407,0.03573641,0.0415683,0.09375355,0.04538272,0.55782313,0.04761905,0.06976744,0.15743086,0.33140668,0.21885291,0.32967067,0.23751342,0.45639653,0.24931464,0.31626658,0.43009436,0.46206879,0.48514973,0.5544989,0.49653876,0.61656018,0.57621344,0.46958027,0.53592932,0.4917589,0.44895275,0.58224827,-1,-1,-1,-1,0.1121483079546495,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.09, 0.14)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
42,0.07772306,0.04882395,0.05181432,0.13406511,0.05954594,0.55782313,0.02380952,0.04651163,0.1710149,0.33727055,0.23614611,0.34495365,0.26180728,0.46061187,0.26588104,0.3340775,0.42858621,0.46074355,0.48545592,0.55551611,0.49903959,0.62073462,0.58573294,0.4528721,0.54786892,0.48124087,0.45957171,0.58956104,-1,-1,-1,-1,0.15557601501149879,"[0.06, 0.09)","[0.04, 0.07)","[0.05, 0.07)","[0.09, 0.14)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.14, 0.20)"
49,0.07299838,0.07885857,0.05549183,0.11979635,0.0597799,0.55442177,0.02380952,0.04651163,0.18106378,0.34701132,0.25084601,0.35860631,0.2790549,0.46913958,0.28538717,0.35482347,0.4257997,0.46174372,0.50313176,0.56814149,0.51356223,0.64499275,0.61350847,0.44778183,0.55318488,0.46626586,0.46870183,0.59696658,-1,-1,-1,-1,0.1449280687585445,"[0.06, 0.09)","[0.07, 0.11)","[0.05, 0.07)","[0.09, 0.14)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.14, 0.20)"
56,0.06594827,0.07627029,0.05074422,0.10283976,0.08539595,0.55102041,0.02380952,0.02325581,0.19592411,0.34938174,0.25669547,0.36296074,0.29285971,0.4746282,0.29882716,0.36824325,0.43420504,0.47560028,0.52906796,0.5827823,0.52885641,0.66276472,0.64230353,0.45005141,0.56345309,0.46399865,0.46948098,0.61630487,-1,-1,-1,-1,0.14298062937569025,"[0.06, 0.09)","[0.07, 0.11)","[0.05, 0.07)","[0.09, 0.14)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
63,0.08024194,0.09355522,0.05511208,0.12886273,0.09320044,0.55102041,0.02380952,0.02325581,0.19997578,0.33359831,0.25980763,0.36873517,0.30216425,0.4693257,0.30187626,0.3700657,0.4307366,0.46641832,0.5340176,0.59244833,0.5284578,0.66828658,0.64806884,0.45409963,0.56465972,0.47091734,0.46490065,0.63551646,-1,-1,-1,-1,0.1683130017591419,"[0.06, 0.09)","[0.07, 0.11)","[0.05, 0.07)","[0.09, 0.14)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.14, 0.20)"
