time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
0,0.1310105,0.12472231,0.23672435,0.1309129,0.05293704,0.9378882,0.05813953,0.03846154,0.43704852,0.33243424,0.42641728,0.37886244,0.51377564,0.37101209,0.36527372,0.34306637,0.53236415,0.55627515,0.27647552,0.15864069,0.48131321,0.12060563,0.28472437,0.16178274,0.20116192,0.70887252,0.55714238,0.42504049,-1,-1,-1,1,0.2756427678595869,"[0.07, 0.13)","[0.09, 0.14)","[0.20, 0.30)","[0.11, 0.16)","[0.00, 0.07)","[0.88, 0.94)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.30)"
7,0.13625856,0.12522382,0.23471722,0.14001481,0.04244891,0.9378882,0.06976744,0.05128205,0.42152238,0.30192583,0.39298276,0.35162233,0.49461523,0.34782532,0.33475902,0.33323905,0.49065613,0.5137639,0.27597437,0.14839704,0.47602871,0.11725995,0.27785361,0.16156261,0.20872867,0.74622226,0.52807175,0.42484225,-1,-1,-1,1,0.276583134597995,"[0.13, 0.20)","[0.09, 0.14)","[0.20, 0.30)","[0.11, 0.16)","[0.00, 0.07)","[0.88, 0.94)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.30)"
14,0.13625321,0.07776364,0.24598426,0.13796639,0.03581256,0.93478261,0.04651163,0.06410256,0.41949636,0.28344888,0.39720328,0.36223299,0.49420668,0.33640303,0.33791883,0.33495242,0.47721438,0.48991506,0.28387979,0.14404803,0.48328201,0.11959198,0.27991826,0.16893546,0.20976987,0.78091038,0.51105515,0.43032923,-1,-1,-1,1,0.2842982947383493,"[0.13, 0.20)","[0.05, 0.09)","[0.20, 0.30)","[0.11, 0.16)","[0.00, 0.07)","[0.88, 0.94)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.30)"
21,0.09487715,0.07555973,0.11891631,0.13806919,0.01611262,0.91614907,0.06976744,0.1025641,0.41796379,0.26434551,0.39432581,0.36290204,0.49514523,0.31151434,0.33208643,0.33214063,0.48554992,0.49589278,0.28001742,0.13443167,0.4808091,0.11131912,0.26715547,0.18403094,0.21380316,0.77648171,0.51596406,0.4394685,-1,-1,-1,1,0.18293115244412747,"[0.07, 0.13)","[0.05, 0.09)","[0.10, 0.20)","[0.11, 0.16)","[0.00, 0.07)","[0.88, 0.94)","[0.00, 0.10)","[0.10, 0.20)","[0.18, 0.30)"
28,0.07052605,0.06431072,0.11467838,0.10325605,0.02925367,0.89130435,0.06976744,0.12820513,0.40222831,0.26100358,0.39841027,0.3671413,0.47902807,0.31102028,0.33803803,0.33340451,0.48007282,0.48623871,0.28001135,0.1334864,0.48025547,0.11466386,0.266886,0.18797186,0.21648142,0.76079331,0.49473736,0.41054588,-1,-1,-1,1,0.15706278970365897,"[0.07, 0.13)","[0.05, 0.09)","[0.10, 0.20)","[0.05, 0.11)","[0.00, 0.07)","[0.88, 0.94)","[0.00, 0.10)","[0.10, 0.20)","[0.05, 0.18)"
35,0.07617364,0.05917217,0.07732435,0.07287413,0.10469843,0.86956522,0.05813953,0.12820513,0.42024188,0.26089591,0.43230373,0.39080791,0.4871329,0.31379362,0.36779069,0.32972081,0.50828249,0.4864327,0.29405641,0.14980924,0.48609312,0.152758,0.29106058,0.19416656,0.19275624,0.74866875,0.51367315,0.39152269,-1,-1,-1,1,0.1491692165650953,"[0.07, 0.13)","[0.05, 0.09)","[0.00, 0.10)","[0.05, 0.11)","[0.07, 0.15)","[0.82, 0.88)","[0.00, 0.10)","[0.10, 0.20)","[0.05, 0.18)"
42,0.19708452,0.15032838,0.36503114,0.06626601,0.11534291,0.85093168,0.05813953,0.1025641,0.43593572,0.27442675,0.4742732,0.43018386,0.50058789,0.33246033,0.40579237,0.34104107,0.52900509,0.49406976,0.2984212,0.15406013,0.49399137,0.16075195,0.29769078,0.19914564,0.17013783,0.71013589,0.52248498,0.34393647,-1,-1,-1,1,0.38851371164772014,"[0.13, 0.20)","[0.14, 0.19)","[0.30, 0.40)","[0.05, 0.11)","[0.07, 0.15)","[0.82, 0.88)","[0.00, 0.10)","[0.10, 0.20)","[0.30, 0.42)"
49,0.29310874,0.14547511,0.57837193,0.06504211,0.22397195,0.82298137,0.06976744,0.11538462,0.44905973,0.30673482,0.49281806,0.43901385,0.50593657,0.35347101,0.41892674,0.36039427,0.55294938,0.52186573,0.30541679,0.15571738,0.50349063,0.16956663,0.30362419,0.20944933,0.17438334,0.68246763,0.52749449,0.32910062,-1,-1,-1,1,0.6236248871493019,"[0.27, 0.33)","[0.14, 0.19)","[0.50, 0.60)","[0.05, 0.11)","[0.22, 0.30)","[0.82, 0.88)","[0.00, 0.10)","[0.10, 0.20)","[0.55, 0.67)"
56,0.36421917,0.17205992,0.71678455,0.10854134,0.22101979,0.80745342,0.09302326,0.08974359,0.46884253,0.3416811,0.53044864,0.46774301,0.52203516,0.38164996,0.44467791,0.38387865,0.57217893,0.54629366,0.31241411,0.16548336,0.50982837,0.18505015,0.31535747,0.21601632,0.175408,0.6479012,0.54190357,0.31248156,-1,-1,-1,1,0.7578991101586953,"[0.33, 0.40)","[0.14, 0.19)","[0.70, 0.80)","[0.11, 0.16)","[0.15, 0.22)","[0.75, 0.82)","[0.00, 0.10)","[0.00, 0.10)","[0.67, 0.80)"
63,0.34684484,0.24720638,0.71928186,0.08502359,0.21810874,0.8136646,0.13953488,0.12820513,0.48416392,0.36054668,0.54628878,0.47462579,0.52698935,0.3955402,0.456292,0.40553203,0.58286287,0.56967417,0.31755694,0.1826776,0.52581953,0.20134105,0.33420941,0.21230268,0.18291499,0.62187227,0.56021247,0.31431984,-1,-1,-1,1,0.7564170988587814,"[0.33, 0.40)","[0.24, 0.28)","[0.70, 0.80)","[0.05, 0.11)","[0.15, 0.22)","[0.75, 0.82)","[0.10, 0.20)","[0.10, 0.20)","[0.67, 0.80)"
